data_local,data_hora_envio,status
2026-09-04,2026-09-04 20:38:53,ENVIADO
2026-09-05,2026-09-05 20:00:57,ENVIADO
2026-09-06,2026-09-06 20:01:33,ENVIADO
2026-09-07,2026-09-07 20:01:34,ENVIADO
2026-09-08,2026-09-08 20:01:33,ENVIADO
2026-09-09,2026-09-09 20:01:33,ENVIADO
2026-09-10,2026-09-10 20:01:34,ENVIADO
2026-09-11,2026-09-11 20:01:33,ENVIADO
2026-09-12,2026-09-12 20:01:34,ENVIADO
2026-09-13,2026-09-13 20:01:34,ENVIADO
2026-09-14,2026-09-14 20:01:34,ENVIADO
2026-09-15,2026-09-15 20:01:33,ENVIADO
2026-09-16,2026-09-16 20:04:19,ENVIADO
2026-09-17,2026-09-17 20:03:39,ENVIADO
2026-09-18,2026-09-18 20:03:57,ENVIADO
2026-09-19,2026-09-19 20:04:15,ENVIADO
2026-09-20,2026-09-20 20:04:16,ENVIADO
2026-09-21,2026-09-21 20:01:10,ENVIADO
2026-09-22,2026-09-22 20:01:23,ENVIADO
2026-09-24,2026-09-24 20:00:44,ENVIADO
