id_alerta,data_hora_alerta,fixture_id,jogo,minuto_alerta,placar_alerta,time_destaque,indice_alerta,momento_10_min,qualidade_score,qualidade_nivel,gol_ate_5_min,gol_ate_10_min,time_gol,minuto_gol,minutos_apos_alerta,resultado_gol,gol_time_destaque_5_min,gol_time_destaque_10_min,escanteio_ate_5_min,escanteio_ate_10_min,escanteio_time_destaque_5_min,escanteio_time_destaque_10_min,primeiro_escanteio_time,primeiro_escanteio_minuto,minutos_ate_escanteio,status
19713986-20260823110628,2026-08-23 11:06:28,19713986,Sønderjyske Fodbold x Nordsjælland,46,0 x 1,Nordsjælland,64.3,100.0,78.6,MUITO FORTE,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,ENCERRADO_SEM_GOL
19713984-20260823124252,2026-08-23 12:42:52,19713984,FC Midtjylland x Randers FC,28,1 x 0,FC Midtjylland,74.7,100.0,91.0,EXCEPCIONAL,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,ENCERRADO_SEM_GOL
19713988-20260823132420,2026-08-23 13:24:20,19713988,AGF x Odense BK,55,1 x 2,AGF,79.8,100.0,100.0,EXCEPCIONAL,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,ENCERRADO_SEM_GOL
19713984-20260823132423,2026-08-23 13:24:23,19713984,FC Midtjylland x Randers FC,60,1 x 0,FC Midtjylland,73.2,100.0,91.5,EXCEPCIONAL,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,ENCERRADO_SEM_GOL
19713988-20260823133919,2026-08-23 13:39:19,19713988,AGF x Odense BK,76,2 x 2,AGF,80.5,100.0,100.0,EXCEPCIONAL,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,ENCERRADO_SEM_GOL
19713982-20260823150739,2026-08-23 15:07:39,19713982,Horsens x Lyngby Boldklub,46,1 x 0,Lyngby Boldklub,71.7,100.0,85.0,EXCEPCIONAL,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,ENCERRADO_SEM_GOL
19713982-20260823152819,2026-08-23 15:28:19,19713982,Horsens x Lyngby Boldklub,66,1 x 1,Lyngby Boldklub,77.4,100.0,89.0,EXCEPCIONAL,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,ENCERRADO_SEM_GOL
19713980-20260823160350,2026-08-23 16:03:50,19713980,Viborg FF x FC København,1,1 x 0,Viborg FF,65.0,100.0,65.0,MUITO FORTE,NÃO,SIM,Viborg FF,8.0,7.0,TIME_DESTAQUE,NÃO,SIM,PENDENTE,PENDENTE,PENDENTE,PENDENTE,,,,ENCERRADO_COM_GOL
19713980-20260823161902,2026-08-23 16:19:02,19713980,Viborg FF x FC København,16,3 x 0,Viborg FF,72.3,100.0,79.0,MUITO FORTE,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,PENDENTE,PENDENTE,PENDENTE,PENDENTE,,,,ENCERRADO_SEM_GOL
19713980-20260823170559,2026-08-23 17:05:59,19713980,Viborg FF x FC København,46,3 x 0,FC København,79.6,100.0,91.0,EXCEPCIONAL,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,PENDENTE,PENDENTE,PENDENTE,PENDENTE,,,,ENCERRADO_SEM_GOL
19713978-20260824172212,2026-08-24 17:22:12,19713978,Brøndby IF x Silkeborg IF,17,0 x 0,Silkeborg IF,70.8,100.0,75.0,MUITO FORTE,NÃO,NÃO,,,,SEM_GOL,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,ENCERRADO_SEM_GOL
19713978-20260824184439,2026-08-24 18:44:39,19713978,Brøndby IF x Silkeborg IF,87,3 x 1,Brøndby IF,71.2,100.0,92.0,EXCEPCIONAL,PENDENTE,PENDENTE,,,,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,,,,ACOMPANHANDO
19722799-20260902192631,2026-09-02 19:26:31,19722799,Celtic x Aberdeen,38,2 x 0,Celtic,83.9,100.0,100.0,EXCEPCIONAL,PENDENTE,PENDENTE,,,,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,,,,ACOMPANHANDO
19713956-20260902192635,2026-09-02 19:26:35,19713956,AGF x FC Midtjylland,67,0 x 2,AGF,63.8,60.0,61.1,FORTE,PENDENTE,PENDENTE,,,,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,,,,ACOMPANHANDO
19722797-20260902202731,2026-09-02 20:27:31,19722797,Falkirk x Rangers,67,1 x 1,Rangers,62.6,100.0,62.2,FORTE,PENDENTE,PENDENTE,,,,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,PENDENTE,,,,ACOMPANHANDO
